id,created_at,text
1435442662069321728,2021-09-08 03:19:34,RT @korantempo: Pelabuhan Patimban menarik eksportir dari Karawang dan Purwakarta. Eksportir dan distributor barang hanya beralih ke Pelabu…
1435441122394861582,2021-09-08 03:13:27,Mersad 16 adalah generasi baru Sistem Pertahanan Udara yang dikembangkan oleh industri pertahanan Iran untuk melawa… https://t.co/C2vfPVZfXX
1435440161165246467,2021-09-08 03:09:38,RT @korantempo: Ribuan orang yang positif terjangkit Covid-19 dan punya kontak erat ditemukan keluyuran di area publik. Diperlukan sanksi b…
1435439563787227136,2021-09-08 03:07:15,"Rudal PAC-3, satu-satunya pencegat Hit-to-Kill yang terbukti dalam pertempuran, mampu mencegat rudal balistik takti… https://t.co/Pqq9Yionq0"
1435437727692980224,2021-09-08 02:59:58,Taliban mulai memilih-milih siapa yang berhak duduk di pemerintahan Afghanistan yang baru. #TempoDunia https://t.co/pbrhWdAoSY
1435436559273115651,2021-09-08 02:55:19,RT @korantempo: Sebanyak 1.969 orang yang terinfeksi virus maupun berkontak erat dengan pasien Covid-19 terdeteksi berkegiatan di area publ…
1435436060138295296,2021-09-08 02:53:20,"Menurut Angelina Jolie, keselamatan anak-anaknya yang menjadi alasan mengapa ia memilih bercerai dengan Brad Pitt.… https://t.co/axwK21PIpQ"
1435435015790202891,2021-09-08 02:49:11,RT @korantempo: Kepolisian Daerah Kalimantan Barat menetapkan 16 tersangka perusakan Masjid Ahmadiyah di Kabupaten Sintang. Polisi buru auk…
1435434099980713994,2021-09-08 02:45:33,"Bank Indonesia mencatat cadangan devisa per Agustus 2021 tercatat sebesar US$ 144,8 miliar, meroket ke level tertin… https://t.co/29hSP9xhHF"
1435433475645992966,2021-09-08 02:43:04,"Belanda Vs Turki 6-0, Cedera Virgil Van Dijk Tak Parah https://t.co/gqz2BDFPqI #TempoBola"
1435433468675051524,2021-09-08 02:43:02,"Luuk De Jong Disamakan Dengan Legenda Barcelona Julio Salinas, Siapa Dia? https://t.co/pPPmvs7SgI #TempoBola"
1435432984929193984,2021-09-08 02:41:07,"Lapas Kelas 1 Tangerang, Banten kebakaran pada dini hari tadi sekitar pukul 02.30. Dalam insiden itu, dikabarkan pu… https://t.co/45M0uBweTP"
1435432940297543685,2021-09-08 02:40:56,RT @korantempo: Kaharudin Ongko dua kali absen dari panggilan Satgas BLBI. Satgas BLBI memanggil Kaharudin Ongko untuk menyelesaikan tagiha…
1435432905333870595,2021-09-08 02:40:48,"RT @korantempo: DPR tetap meloloskan dua calon anggota BPK yang tak memenuhi syarat formal. Sebelumnya, dua fraksi di Komisi Keuangan DPR s…"
1435432891626913796,2021-09-08 02:40:45,"RT @korantempo: Anak Munir Said Thalib, Diva Suukyi Larasati, membuat film pendek yang berkisah tentang angan-angannya jika ayahnya masih a…"
1435430055291752450,2021-09-08 02:29:28,"Seorang perempuan berusia 19 tahun menggugat Kementerian Kesehatan di Spanyol sebesar 3 juta euro (Rp 50 miliar), k… https://t.co/VFd2ILddLX"
1435429711040053248,2021-09-08 02:28:06,Wuling Motors Tak Tanggung-Tanggung Lanjutkan Subsidi PPnBM 100% di Bulan September! https://t.co/QgnJ9dGx5k #TempoOtomotif
